Genre,Year,Title,From,Extras,Remarks
Crime|Mystery|Thriller ,2000,The Crimson Rivers/Les rivières pourpres,DVD,Yes,
Drama|War,2008,The Children of Huang Shi,DVDR,,
Comedy|Drama|Romance,2005,Mozart and the Whale,DVD,No,
Drama|Thriller|War,2008,The Boy in the Striped Pyjamas,DVDR,,
Action|Crime|Drama|Thriller,2006,The Fast and the Furious: Tokyo Drift,DVD,Yes,
Action|Crime|Thriller,2008,Bangkok Dangerous,DVDR,,
Crime|Drama ,1995,La haine,DVD,Yes,
Action|Drama|Thriller ,2005,Empire of the Wolves/L'empire des loups,DVD,Yes,
Action|Thriller,2002,Derailed,DVDR,,
Crime|Drama ,2008,Gomorra,DVDR,,
Crime|Drama|Thriller,2008,Lakeview Terrace,DVDR,No,
Action|Crime|Thriller ,2002,The Transporter,DVDR,,
Action|Crime|Thriller ,2005,Transporter 2,DVDR,,
Action|Adventure|Crime|Thriller ,2008,Transporter 3,DVDR,,
Drama|Sport,2008,The Wrestler,DVDR,No,
Crime|Drama|Thriller ,2008,Traitor,DVDR,Yes,
Comedy|Horror|Thriller,2006,Sheitan,DVD,Yes,
Comedy|Drama|Romance ,2005,Imagine Me & You,DVD,Yes,
Documentary,2007,Elle s'appelle Sabine ,DVD,No,
Drama,2006,De gek op de heuvel,DVD,No,
Drama,2008,The Black Balloon ,DVD,Yes,
Crime|Drama|Thriller,2006,Perfume: The Story of a Murderer,DVD,Yes,
Crime|Drama|Mystery|Thriller        ,2007,Eastern Promises,DVDR,No,
Drama|Fantasy|Horror|Romance|Thriller ,2008,Let The Right One In,DVDR,,
Comedy|Crime|Drama|Thriller,2007,Nobel Son,DVDR,No,
Action|Biography|Crime|Drama|Thriller,2008,Public Enemy Number One (Part 1),DVDR,No,
Action|Biography|Crime|Drama|Thriller,2008,Public Enemy Number One (Part 2),DVDR,No,
Comedy|Drama|War ,2008,The Lucky Ones ,DVDR,No,
Action|Crime|Drama|Thriller ,2008,Taken,DVDR,No,
Comedy|Drama|Music,2007,You The Living,DVDR,,
Comedy|Drama|Family|Romance ,2008,Marley & Me,DVDR,No,
Biography|Crime|Drama|History|Thriller ,2009,Public Enemies,DVDR,No,
Action|Mystery|Thriller,2009,Echelon Conspiracy/The Gift,DVDR,No,
Crime|Drama|Romance,2008,Slumdog Millionaire,DVDR,No,
Drama|Thriller ,2006,Das Leben der Anderen,DVDR,No,
Biography|Drama|History|War,2008,Che: Part One,DVDR,No,
Biography|Drama|History|War,2008,Che: Part Two,DVDR,No,
Drama|Romance,2008,Revolutionary Road,DVDR,No,
Drama,2009,De storm,DVDR,No,
Adventure|Comedy|Crime,2009,The Hangover,DVDR,Yes,
Drama|Horror|Mystery|Thriller ,2009,A Perfect Getaway ,DVDR,No,
Action|Adventure|Drama|History|War,2008,Red Cliff,DVDR,,
Action|Adventure|Drama|Sci-Fi|Thriller ,2009,2012,DVDR,No,
Thriller|Horror,2000,Bless The Child,DVD,Yes,
Mystery|Thriller,2006,The Night Listener,DVD,Yes,
Drama|Comedy,1999,Holy Smoke,DVD,Yes,
Comedy|Drama|Romance|War,2005,La tigre e la neve/The Tiger and the Snow,DVD,Yes,
Comedy|Drama,1989,Do the Right Thing,DVD,,
Drama|Romance,1991,Jungle Fever,DVD,,
Comedy|Drama,1994,Crooklyn,DVD,,
Drama|Crime|Mystery,1995,Clockers,DVDR,,
Horror|Mystery|Thriller,2006,The Wicker Man,DVDR,,
Crime|Drama|Mystery,2006,Jesse Stone: Night Passage,TV,NA,
Crime|Drama|Mystery,2006,Jesse Stone: Death in Paradise,TV,NA,
Crime|Drama,2007,Jesse Stone: Sea Change,TV,NA,
Drama|Mystery,2009,Jesse Stone: Thin Ice,TV,NA,
Biography|Drama|Sport,1980,Raging Bull,DVD,Yes,2-DVDS
Drama|Mystery|Sci-Fi|Thriller,2001,Donnie Darko,DVDR,Yes,2-DVDS
Drama,2004,The Woodsman,DVDR,No,
Biography|Drama,2008,Milk,DVDR,No,
Thriller|Horror|Mystery ,1999,Stir of Echoes,DVDR,,
Drama,2007,Live!,DVD,No,
Drama,2007,Rails & Ties,DVDR,,
Crime|Drama|Thriller ,1990,State of Grace,DVDR,,
Drama|History,2008,Frost/Nixon,DVDR,No,
Action|Drama|Thriller|War ,2008,The Hurt Locker,DVDR,No,
Crime|Drama|Mystery|Thriller,2006,Unknown,DVD,Yes,
Drama|Horror|Thriller ,2004,GodSend,DVD,Yes,
Action|Western ,2007,Sukiyaki Western Django,DVDR,,
Drama,2009,Powder Blue,Not Yet,,
Crime|Drama,2008,Winged Creatures,DVDR,,
Drama|Thriller,1976,Taxi Driver,DVDR,No,
Drama|Thriller ,1995,Murder in the First,DVD,Yes,
Thriller,2007,Anamorph,DVD,No,
Drama,1985,The Color Purple,DVDR,Yes,
Drama|History|Thriller|War ,2004,Hotel Rwanda,DVDR,No,
Drama,2009,My Sister's Keeper,DVDR,No,
Crime|Drama,2005,Detective,DVD,,2-DVDS
Biography|Drama|Music,2009,The Soloist,DVDR,No,
Horror|Thriller ,2007,Prey,DVD,Yes,
Drama|Thriller|Action|Romance,1988,Betrayed,DVD,Yes,
Action|Drama|Thriller  ,2009,Armored,DVDR,,
Drama|Romance|Thriller ,2005,The Constant Gardener,DVDR,No,
Action|Adventure|Sci-Fi|Thriller ,2004,The Day After Tomorrow,DVDR,No,
Crime|Drama|War ,2007,Die Fälscher,DVDR,Yes,
Thriller,2009,The Stepfather,DVDR,No,
Crime|Drama|Thriller ,2009,Le premier cercle/The Inside Ring,DVDR,No,
Drama,2008,God On Trial,DVDR,,
Drama,2008,The Merry Gentleman,DVDR,,
Crime|Drama|Mystery|Romance|Thriller ,2008,Deception,DVDR,,
Drama|Romance,2009,Komt een vrouw bij de dokter,DVDR,,
Drama|Mystery|Thriller ,2006,The Prestige,DVDR,,
Drama,2009,The Boys Are Back,DVDR,No,
Drama|History,2008,Hunger ,DVDR,No,
Crime|Drama,2009,Un prophète ,DVDR,No,
Drama,2009,Precious,DVDR,,
Crime|Drama|Thriller ,2010,Edge of Darkness,DVDR,No,
Adventure|Fantasy|Mystery ,2009,The Imaginarium of Doctor Parnassus,DVDR,,
Comedy|Romance|Drama,1997,For Roseanna/Roseanna's Grave,DVDR,,
Thriller,2009,Case 39,DVDR,,
Drama|History,2005,Shooting Dogs/Beyond the Gates,DVDR,,
Biography|Drama|History,2007,Goodbye Bafana,DVDR,,
Drama|Thriller,2009,Chloe,DVDR,No,
Thriller,2009,Across the Hall,DVDR,,
Drama|Romance|War ,2009,The Messenger,DVDR,No,
"Action, Adventure, Crime ",2009,Sherlock Holmes,DVDR,,
Drama|Romance,2009,My Name Is Khan,DVD,Yes,
Drama|Romance,2009,Adam,DVD,Yes,
Crime|Drama,2009,The Bad Lieutenant: Port of Call - New Orleans,DVDR,No,
Mystery|Thriller ,2009,Exam,DVDR,,
Drama|Fantasy|Horror  ,2009,Heartless,DVDR,,
Action|Fantasy|Romance|Sci-Fi ,2007,Next,DVDR,No,
Horror|Thriller,2008,100 Feet,DVDR,No,
Crime|Drama|Romance ,2008,The Burning Plain,DVDR,,
Drama|Mystery|Thriller ,2010,Shutter Island,DVDR,No,
Thriller,2008,The Horseman,DVDR,,
Biography|Drama,2010,Temple Grandin,DVDR,,
Dram,2010,Extraordinary Measures,DVDR,No,
Adventure|Drama|Sci-Fi  ,2006,Children of Men,DVDR,Yes,
Comedy|Drama|Romance ,2009,Solitary Man,DVDR,No,
Comedy|Drama|Romance  ,2006,The Break-up,DVDR,,
Crime|Drama,1987,Wall Street,DVDR,No,
Drama,2005,North Country,DVDR,No,
Drama|Music|Romance  ,2009,Crazy Heart,DVDR,No,
Comedy|Drama|Romance   ,2010,De Gelukkige Huisvrouw,DVDR,No,
Comedy,2009,Couples Retreat,DVDR,No,
Action|Comedy|Romance,2010,The Killers,DVDR,,
Comedy|Romance ,2005,Wedding Crashers,DVDR,,
Crime|Drama|Thriller  ,2009,Law Abiding Citizen,DVDR,No,
Biography|Crime|Drama  ,2007,Freedom Writers,DVDR,No,
Comedy|Drama,2008,Sunshine Cleaning,DVDR,No,
Crime|Drama|Thriller ,2006,Bordertown,DVDR,,
Action|Crime|Thriller ,2010,The Immortal,DVDR,No,
Drama|Romance|War  ,2010,Dear John,DVDR,No,
Drama|Thriller ,2008,Die Welle,DVDR,No,
Drama|Romance ,2006,Little Children,DVDR,No,
Drama,2010,Stomp the Yard 2,DVDR,Yes,
Adventure|Drama  ,2000,Cast Away,DVDR,No,
Mystery|Thriller,2006/2009,The Da Vinci Code & Angels and Demons,DVDR,No,
Crime|Drama|Mystery  ,2009,State of Play,DVDR,Yes,
Comedy|Drama,2009,Baaria,DVDR,,
Action|Adventure|Drama,2010,Robin Hood,DVDR,,
Drama,2010,Wall Street - Money Never Sleeps,DVDR,No,
Comedy|Drama|Romance  ,2009,He's Just Not That Into You,DVDR,,
Drama|Romance ,2007,P.S. I love you,DVDR,,
Comedy|Romance ,2010,Back-up Plan,DVDR,Yes,
Action|Drama|Sci-Fi  ,2002,Equilibrium,DVDR,No,
Action|Mystery|Sci-Fi  ,2010,Inception,DVDR,No,
Action|Comedy|Crime  ,2010,The Bounty Hunter,DVDR,,
Drama,1999,American Beauty,DVDR,Yes,
Action|Crime|Mystery ,2010,Salt,DVDR,Yes,
Action|Crime|Thriller  ,2010,Machete,DVDR,No,
Crime|Drama|Thriller ,2003,21 Grams,DVDR,,
Comedy|Drama  ,1998,Hurlyburly,DVDR,Yes,
Adventure|Drama|Romance,2003,Beyond Borders,DVDR,Yes,
Thriller,1999,Arlington Road,DVDR,No,
Drama|Romance ,1993,What's Eating Gilbert Grape ,DVDR,No,
Drama,2009,Hadewijch,DVDR,,
Drama,2008,Seven Pounds,DVDR,,
Drama|Music|Romance  ,2010,Step Up 3D,DVDR,,
Drama|Musical|Romance,2009,House of Boys,DVDR,,
Crime|Drama|Thriller,2010,Brotherhood,DVDR,,
Drama,2010,Dog Pound,DVDR,,
Drama|Fantasy|Romance ,1998,City Of Angels,DVDR,,
Drama|Sport,2004,Million Dollar Baby,TV,NA,
Biography|Drama|Romance  ,2005,Cinderella Man,TV,NA,
Biography|Drama|Sport                                     ,2001,Ali,TV,NA,
Drama|Sport,2000,Girlfight,TV,NA,
Action|Biography|Crime  ,2008,The Baader Meinhof Complex,DVDR,No,
Crime|Drama|Thriller  ,2010,The Town,DVDR,No,
Comedy|Romance|Thriller ,1996,Mojave Moon,DVDR,No,
Biography|Drama|History  ,2010,The Social Network,DVDR,No,
Adventure|Drama|Thriller  ,2010,127 Hours,DVDR,No,
Biography|Drama|Sport,2010,The Fighter,DVDR,,
Drama|Horror|Thriller,2007,Wind Chill,DVDR,No,
Comedy|Drama,2010,The Kids Are Allright,DVDR,No,
Comedy|Drama,2010,Due Date,DVDR,,
Drama|Thriller,2006,Irresistible,DVDR,No,
Drama|History|War,2010,The Round Up (Aka La Rafle),DVDR,No,
Crime|Drama|Mystery ,2008,Loft (BE),DVDR,No,
Thriller,2010,Loft (NL),DVDR,,
Action|Comedy|Crime,2010,The Other Guys,DVDR,No,
Crime|Drama|Romance,2010,The Next Three Days,DVDR,No,
Drama,2010,Elle s'appelait Sarah/Haar naam was Sarah,DVDR,Yes,
Fantasy|Romance|Drama,2010,Charlie St. Cloud,DVDR,No,
Crime|Drama|Thriller,2009,Five Minutes of Heaven,DVDR,Yes,
Drama,2009,Against the Current,DVDR,No,
Comedy|Drama,2011,The Dilemma,DVDR,,
Drama|Thriller,2010,The Experiment,DVDR,Yes,
Action|Adventure|Drama,2008,Hell Ride,DVDR,Yes,
Drama,2009,Mother and Child,DVDR,Yes,
Comedy,2010,'Tamara Drewe',DVDR,,
Comedy|Drama|Romance,2010,The Switch,DVDR,Yes,
Comedy|Crime|Drama,2009,Leaves of Grass,DVDR,No,
Biography|Drama|Thriller,2010,Fair Game,DVDR,No,
Drama|Mystery|Thriller,2010,Buried,DVDR,,
Biography|Drama|Thriller,1986,Salvador,DVDR,Yes,
Comedy|Drama|Romance,2002,Bend It Like Beckham,DVDR,,
Comedy|Drama|Romance,2007,I Could Never Be Your Woman    ,DVDR,,
Comedy|Drama|Romance,2006,A Good Year,DVDR,,
Comedy,2010,Little Fockers,DVDR,Yes,
Action|Drama|Romance,2010,The Tourist,DVDR,,
Comedy|Romance ,2004,Meet The Fockers,DVDR,No,
Comedy|Romance ,2000,Meet The Parents,DVDR,No,
Drama|Romance|Thriller,2008,Incendiary,DVDR,,
Adventure|Drama|History ,2008,North Face/Nordwand,DVDR,No,
Crime|Drama ,2008,La siciliana ribelle,DVDR,,
Comedy|Drama  ,2010,The Infidel,DVDR,,
Drama|History|War  ,1984,The Killing Fields,DVDR,Yes,
Action|Crime|Mystery,2011,Ticking Clock,DVDR,Yes,
Crime|Drama|Musical ,2009,A Day in the Life,DVDR,,
Drama,2010,Tirza,DVDR,Yes,
Drama|Mystery|Sci-Fi ,2009,The Box,DVDR,,
Biography|Crime|Drama ,2001,Blow,DVDR,Yes,
Crime|Drama|Thriller ,2007,The Brave One,DVDR,,
Comedy|Romance ,2010,Just Wright,DVDR,No,
Action|Crime|Drama,1999,The Boondock Saints,DVDR,,
Adventure|Drama|Thriller,2009,The Road,DVDR,,
Comedy|Drama|Family,2009,Fame,DVDR,No,
Drama,1997,Boogie Nights,DVDR,,
Crime|Drama|Thriller,2010,The Killer Inside Me,DVDR,,
Drama,2010,De Eenzaamheid van de Priemgetallen,DVDR,,
Crime|Drama|Thriller ,2008,Killshot,DVDR,,
Drama|Romance ,2009,Love Happens,DVDR,,
Comedy|Drama ,2009,My one and only,DVDR,,
Drama|Family|History ,2010,Secretariat,DVDR,No,
Comedy|Drama|Romance ,2008,Sex and the City,DVDR,,
Thriller,2010,De eetclub,DVDR,,
Drama,2008,Gran Torino,DVDR,,
Action|Crime|Thriller,2011,S.W.A.T.: Firefight,DVDR,,
Drama|Horror|Thriller ,2009,The Killing Room,DVDR,,
Biography|Drama ,2010,Conviction,DVDR,,
Drama|Romance ,2001,Lost and Delirious,DVDR,,
Drama|Romance,2006,Loving Annabelle,DVDR,,
Drama|Romance,2010,Never Let Me Go,DVDR,,
Crime|Drama|Music ,2006,Step Up,DVDR,,
Drama|Music|Romance  ,2008,Step Up 2: The Streets ,DVDR,,
Drama,2007,The World Unseen,DVDR,,
Drama|Romance|Sport,2006,The Gymnast,DVDR,,
Drama,2011,Sonny Boy,DVDR,,
Action|Crime|Sci-Fi ,2004,Banlieue 13,DVDR,,
Drama,2010,Biutiful,DVDR,,
Comedy|Drama|Romance ,2010,Love and Other Drugs,DVDR,,
Comedy|Drama|Romance,1986,Nothing in Common,DVDR,,
Action|Crime|Thriller ,2011,The Mechanic,DVDR,,
Adventure|Drama,2010,The Way Back,DVDR,,
Drama|Thriller ,2010,Twelve,DVDR,,
Comedy|Romance ,2010,You Will Meet a Tall Dark Stranger,DVDR,No,
Action|Drama,2009,Celda 211,DVDR,,
Drama|Romance,1992,Claire of the Moon,DVDR,,
Comedy|Drama ,1999,East Is East,DVD ,,
Drama,2004,Yasmin,DVD ,,
Drama,2005,Chromophobia ,DVD ,,
Action|Adventure|Family ,2010,Percy Jackson & the Olympians: The Lightning Thief,DVDR,,
Drama|Horror|Mystery,2009,After Life,DVDR,,
Drama,2009,Brotherhood/Broderskab,DVDR,Yes,
Fantasy|Musical|Romance,1980,Xanadu,DVDR,,
Thriller|Drama ,1979,The China Syndrome,DVDR,,
Drama|Romance,1972,Last Tango in Paris/Ultimo tango a Parigi,DVDR,Yes,
Action|Adventure|Drama ,2000,Proof of Life,DVDR,,
Crime|Drama|Mystery,1988,Mississippi Burning,DVDR,,
Drama|Music,1980,Fame,DVDR,,
Action|Crime|Fantasy ,2011,Drive Angry 3D,DVDR,No,
Drama|Romance|Music ,1983,Flashdance,DVDR,,
Biography|Drama|History,2010,The King's Speech,DVDR,,
Comedy|Drama|Mystery ,2004,The Notebook ,DVDR,Yes,
Drama|Romance ,2002,A Walk to Remember,DVDR,No,
Action|Crime|Drama ,1998,The Negotiator ,DVDR,,
Comedy|Romance,2006,The Holiday,DVDR,No,
Drama|Romance ,2011,Water for Elephants,DVDR,,
Crime|Drama|Sport ,2005,Green Street Hooligans,DVDR,,
Crime|Drama|Sport ,2009,Green Street Hooligans 2,DVDR,,
Drama|War ,1979,Apocalypse Now,DVDR,,
Comedy|Drama ,2009,The Joneses,DVDR,,
Comedy|Drama|Romance,1967,The Graduate,DVDR,,
Action|Adventure|Sci-Fi,1982/2010,TRON/TRON: Legacy ,DVDR,,
Action|Adventure|Fantasy,2009,Avatar,DVDR,,
Adventure|Family|Sci-Fi,1993,Jurassic Park,DVDR,,
Action|Adventure|Sci-Fi,1997,The Lost World: Jurassic Park,DVDR,,
Action|Adventure|Sci-Fi,2001,Jurassic Park III,DVDR,,
"Action, Adventure, Sci-Fi",2015,Jurassic World,DVDR,,
"ction, Sci-Fi, Thriller ",2015,Jurassic City,DVDR,,
Action|Adventure|Crime,1984,Against All Odds,DVDR,,
Comedy|Drama|Romance,2004,Jersey Girl,DVDR,,
Crime|Drama|Mystery,2009,In the Electric Mist,DVDR,,
Drama|Thriller,2010,Peacock,DVDR,,
Drama|Thriller,2010,Trust,DVDR,,
Mystery|Sci-Fi|Thriller,2011,Source Code,DVDR,,
Drama,2010,Elena Undone,DVDR,,
Mystery|Thriller,1992,Basic Instinct        ,DVDR,,
Drama|Thriller,1994,Disclosure,DVDR,,
Mystery|Sci-Fi|Thriller,2011,Limitless ,DVDR,,
Drama|Romance,2010,Last Night,DVDR,Yes,
Drama|Family,2009,Like Dandelion Dust,DVDR,,
Action|Thriller,2001,Livvakterna,DVDR,,
Thriller|Action,1996,Noll tolerans,DVDR,,
Action|Crime|Drama,2011,Street Kings 2: Motor City,DVDR,,
Drama|Thriller,2009,In Her Skin,DVDR,,
Mystery|Thriller,2007,Sunstorm/Solstorm ,DVDR,,
Drama|Mystery|Thriller,2008,Changeling,DVDR,,
